.1.3.6.1.4.1.4458.1000.1.1.1.0 "PTMP SU"
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.25 25
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.26 26
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.27 27
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.28 28
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.29 29
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.30 30
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.31 31
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.32 32
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.33 33
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.34 34
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.35 35
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.36 36
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.37 37
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.38 38
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.39 39
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.40 40
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.41 41
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.42 42
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.43 43
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.44 44
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.45 45
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.46 46
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.47 47
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.48 48
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.49 49
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.50 50
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.51 51
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.52 52
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.53 53
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.54 54
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.55 55
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.56 56
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.57 57
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.58 58
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.59 59
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.60 60
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.61 61
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.62 62
